label,Book Id,Length,Date,ext,value
0001AbuTalibCabdManaf.Diwan,JK007501,5743,1,-ara1,JK007501-ara1
0001AwsIbnHajar.Diwan,JK007502,5215,1,-ara1,JK007502-ara1
0001CalqamaFahl.Diwan,ShamAY0037936,2089,1,-ara1,ShamAY0037936-ara1
0001CamrIbnKulthum.Diwan,JK007524,67,1,-ara1,JK007524-ara1
0001CamrIbnKulthum.Mucallaqa,ShamAY0038526,871,1,-ara1,ShamAY0038526-ara1
0001CamrIbnMalik.Diwan,JK007525,1461,1,-ara1,JK007525-ara1
0001CamrIbnQumaya.Diwan,JK007523,2219,1,-ara1,JK007523-ara1
0001CantaraIbnShaddad.Diwan,ShamAY0037906,28963,1,-ara1,ShamAY0037906-ara1
0001CantaraIbnShaddad.Mucallaqa,ShamAY0038527,653,1,-ara1,ShamAY0038527-ara1
0001CurwaIbnWard.Diwan,ShamAY0037959,2390,1,-ara1,ShamAY0037959-ara1
0001HajibIbnMudallil.Diwan,JK007515,205,1,-ara1,JK007515-ara1
0001HarithIbnHilliza.Diwan,JK007505,1594,1,-ara1,JK007505-ara1
0001HarithIbnHilliza.Mucallaqa,ShamAY0038524,771,1,-ara1,ShamAY0038524-ara1
0001HatimTai.Diwan,JK007514,3790,1,-ara1,JK007514-ara1
0001ImruQays.Diwan,JK007512,5437,1,-ara1,JK007512-ara1
0001ImruQaysKindi.Diwan,Shamela0027112,21075,1,-ara1,Shamela0027112-ara1
0001KitabAllah.QuranKarim,Shia000001,78245,1,-ara1,Shia000001-ara1
0001LaqitIbnYacmur.Diwan,ShamAY0037835,629,1,-ara1,ShamAY0037835-ara1
0001MuhalhilIbnRabica.Diwan,JK007529,3525,1,-ara1,JK007529-ara1
0001MuthaqqibCabdi.Diwan,JK007510,1468,1,-ara1,JK007510-ara1
0001NabighaDhubyani.Diwan,JK007511,6935,1,-ara1,JK007511-ara1
0001QaysIbnKhatim.Diwan,ShamAY0037907,3087,1,-ara1,ShamAY0037907-ara1
0001SalamaIbnJandal.Diwan,ShamAY0037950,2047,1,-ara1,ShamAY0037950-ara1
0001SamawalIbnCadiya.Diwan,JK007508,987,1,-ara1,JK007508-ara1
0001Shanfara.Diwan,ShamAY0037893,2161,1,-ara1,ShamAY0037893-ara1
0001SulaykIbnSulaka.Diwan,ShamAY0037886,119,1,-ara1,ShamAY0037886-ara1
0001TaabbataSharran.Diwan,ShamAY0037943,3145,1,-ara1,ShamAY0037943-ara1
