_T1,label,_T2,instances,date_B2,length,ext,value
ALCorpus00013,0728IbnTaymiyya.DarTacarud,JK000362,8,728,672588,-ara1,JK000362-ara1
ALCorpus00013,0728IbnTaymiyya.Safadiyya,JK000368,6,728,118438,-ara1,JK000368-ara1
ALCorpus00013,0728IbnTaymiyya.RaddCalaMantiqiyyin,JK000371,7,728,127791,-ara1,JK000371-ara1
ALCorpus00013,0683IbnMansurIbnKammuna.JadidFiHikma,JK007008,13,683,86585,-ara1,JK007008-ara1
ALCorpus00013,1031BahaDinCamili.Kashkul,JK009365,2,1031,178994,-ara1,JK009365-ara1
ALCorpus00013,0428IbnSina.Mantiq,JK010704,3,428,442858,-ara1.completed,JK010704-ara1.completed
ALCorpus00013,0548IbnCabdKarimShahrastani.NihayatAqdam,ShamAY0033895,3,548,100617,-ara1,ShamAY0033895-ara1
ALCorpus00013,0505Ghazali.MacarijQuds,Shamela0006494,9,505,39181,-ara1,Shamela0006494-ara1
ALCorpus00013,1200CabdNabiAhmadnakari.DusturCulama,Shamela0007038,2,1200,354542,-ara1,Shamela0007038-ara1
ALCorpus00013,0548IbnCabdKarimShahrastani.MilalWaNihal,Shamela0011812,50,548,117899,-ara1.completed,Shamela0011812-ara1.completed
ALCorpus00013,1250IbnMuhammadCattarShafici.HashiyaCalaJamcJawamic,Shamela0021608,2,1250,537240,-ara1,Shamela0021608-ara1
ALCorpus00013,1041MuhammadBaqirDamadAstarabadi.IthnacasharRisala,Shia001406Vols,1,1041,137667,-ara1,Shia001406Vols-ara1
ALCorpus00013,1041MuhammadBaqirDamadAstarabadi.RawashihSamawiyya,Shia001414,2,1041,80794,-ara1,Shia001414-ara1
ALCorpus00013,1112NicmatAllahJazairi.NurBarahin,Shia001542Vols,1,1112,245812,-ara1,Shia001542Vols-ara1
ALCorpus00013,0756CadudDinIji.Mawaqif,Shia002215Vols,2,756,460499,-ara1,Shia002215Vols-ara1
ALCorpus00013,1300MullaHadiSabzawari.SharhAsmaHusna,Shia002397Vols,10,1300,149278,-ara1,Shia002397Vols-ara1
ALCorpus00013,0726CallamaHilli.NahjHaqq,Shia004020,1,726,148812,-ara1,Shia004020-ara1
ALCorpus00013,1031BahaDinCamili.HadiqaHilaliyya,Shia004027,1,1031,40906,-ara1,Shia004027-ara1
ALCorpus00013,1124IbnCabdFattahTunukabuni.SafinatNajat,Shia004038,1,1124,104505,-ara1,Shia004038-ara1
ALCorpus00013,1173IbnHusaynKhwajuiMazandarani.JamicShatat,Shia004039,4,1173,67131,-ara1,Shia004039-ara1
ALCorpus00013,1411SayyidMarcashi.SharhIhqaq,Shia004092Vols,2,1411,3994825,-ara1,Shia004092Vols-ara1
ALCorpus00013,1050SadrDinShirazi.MabdaWaMacad,Shia004704,7,1050,136150,-ara1,Shia004704-ara1
ALCorpus00013,1050SadrDinShirazi.Mashacir,Shia004705,1,1050,12899,-ara1,Shia004705-ara1
ALCorpus00013,1050SadrDinShirazi.Tafsir,Tafsir04040,11,1050,597082,-ara1,Tafsir04040-ara1
ALCorpus00013,1409RuhAllahKhumayni.ArbacunHadithan,Zaydiyya0000256,1,1409,166736,-ara1,Zaydiyya0000256-ara1
ALCorpus00013,1115IshaqIbnMuhammadCabdi.Ihtiras,Zaydiyya0000413Vols,1,1115,1284708,-ara1,Zaydiyya0000413Vols-ara1
ALCorpus00013,0792IbnCumarTaftazani.SharhMaqasid,Shia004501Vols,2,792,295513,-ara1,Shia004501Vols-ara1
ALCorpus00013,1298CaliMusawiQazwini.TacliqaCalaMacalimUsul,Shia002770Vols,2,1298,369394,-ara1,Shia002770Vols-ara1
ALCorpus00013,1158IbnCaliFaruqiTahanawi.KashshafIstalahat,Shamela0002573,6,1158,721610,-ara1,Shamela0002573-ara1
ALCorpus00013,0726CallamaHilli.KashfMurad,Shia004016,6,726,154598,-ara1,Shia004016-ara1
ALCorpus00013,0751IbnQayyimJawziyya.KafiyaShafiya,ShamAY0038329,1,751,311943,-ara1,ShamAY0038329-ara1
ALCorpus00013,1050SadrDinShirazi.HikmaMutacaliya,Shia004695Vols,107,1050,1082073,-ara1,Shia004695Vols-ara1
