_T1,label,_T2,instances,date_B2,length,ext,value
BibleCorpus001,1307Qannawji.Yaqza,JK000076,3,1307,50021,-ara1,JK000076-ara1
BibleCorpus001,0456IbnHazm.FisalFiMilal,JK000343,7,456,348332,-ara1,JK000343-ara1
BibleCorpus001,1250Shawkani.IrshadThiqat,JK001036,2,1250,17013,-ara1,JK001036-ara1
BibleCorpus001,0651IbnYusufAbuCabbasTifashi.SururNafs,JK011032,1,651,94774,-ara1,JK011032-ara1
BibleCorpus001,1346LuisShikhuYasuci.MajaniAdab,Sham19Y0000259,1,1346,361402,-ara1,Sham19Y0000259-ara1
BibleCorpus001,1346LuisShikhuYasuci.Nasraniyya,Sham19Y0005414,2,1346,122149,-ara1,Sham19Y0005414-ara1
BibleCorpus001,1348MuhammadSulaymanMansurpuri.RahmatCalamin,Sham19Y0014328,47,1348,245914,-ara1,Sham19Y0014328-ara1
BibleCorpus001,0751IbnQayyimJawziyya.AclamMuwaqqicin,Sham19Y0017798,3,751,995802,-ara1,Sham19Y0017798-ara1
BibleCorpus001,1349CabdHamidFarahi.MufradatQuran,Sham19Y0096629,12,1349,87958,-ara1,Sham19Y0096629-ara1
BibleCorpus001,0443AbuSacidGardizi.ZaynAkhbar,ShamAY0033839,1,443,107361,-ara1,ShamAY0033839-ara1
BibleCorpus001,0505Ghazali.RaddJamil,ShamAY0033896,3,505,23720,-ara1,ShamAY0033896-ara1
BibleCorpus001,1281IbnMuhammadShawkani.TafsirFathQadir,ShamAY0034054,2,1281,1356400,-ara1,ShamAY0034054-ara1
BibleCorpus001,1342MahmudShukriAlusi.RawhMacani,ShamAY0034055,1,1342,3471965,-ara1,ShamAY0034055-ara1
BibleCorpus001,0885BurhanDinBiqaci.NazmDurar,ShamAY0034073,142,885,1838436,-ara1,ShamAY0034073-ara1
BibleCorpus001,0505Ghazali.JanibCatifi,ShamAY0036031,1,505,59264,-ara1,ShamAY0036031-ara1
BibleCorpus001,1450MuhammadMascadYaqut.AkhlaqNabawiyya,ShamAY0036107,1,1450,13954,-ara1,ShamAY0036107-ara1
BibleCorpus001,0570AbuCammarCabdKafiIbadi.Mujaz,ShamIbadiyya0000730,1,570,112660,-ara1,ShamIbadiyya0000730-ara1
BibleCorpus001,0728IbnTaymiyya.JawabSahih,Shamela0000170,1,728,354137,-ara1,Shamela0000170-ara1
BibleCorpus001,1450MawqicIslam.Fatawa,Shamela0000894,5,1450,2544963,-ara1,Shamela0000894-ara1
BibleCorpus001,0774IbnKathir.Bidaya,Shamela0004445,1,774,2192600,-ara1.completed,Shamela0004445-ara1.completed
BibleCorpus001,1450JamicaIslamiyya.MajallaJIMN,Shamela0004473,71,1450,5221427,-ara1,Shamela0004473-ara1
BibleCorpus001,0671AbuCabdAllahQurtubi.IclamBimaFiDinNasara,Shamela0006517,56,671,112196,-ara1,Shamela0006517-ara1
BibleCorpus001,1308IbnKhalilHindiCuthmani.MunazaraTaqririyya,Shamela0006546,11,1308,20038,-ara1,Shamela0006546-ara1
BibleCorpus001,1354RashidRida.Manar,Shamela0006947,181,1354,6513230,-ara1,Shamela0006947-ara1
BibleCorpus001,1100ZiyadahIbnYahyaRasi.BahthSarih,Shamela0007565,2,1100,29034,-ara1,Shamela0007565-ara1
BibleCorpus001,1389MuhammadAlShaykh.FatawaWaRasail,Shamela0008476,2,1389,791418,-ara1,Shamela0008476-ara1
BibleCorpus001,1332ZaynabFawwaz.DurrManthur,Shamela0009229,17,1332,236879,-ara1.completed,Shamela0009229-ara1.completed
