_T1,label,_T2,instances,date_B2,length,ext,value
DARE00025,0794BadrDinZarkashi.TashnifMasamic,Sham19Y0122142,1,794,273634,-ara1,Sham19Y0122142-ara1
DARE00025,0728IbnTaymiyya.DarTacarud,JK000362,115,728,672588,-ara1,JK000362-ara1
DARE00025,0428IbnSina.Nafs,ALCorpus00004,3,428,54613,-ara1,ALCorpus00004-ara1
DARE00025,1354RashidRida.Manar,Shamela0006947,8,1354,6513230,-ara1,Shamela0006947-ara1
DARE00025,0780IbnHasanQurashi.MinhajMuttaqin,Zaydiyya0000263,1,780,184365,-ara1,Zaydiyya0000263-ara1
DARE00025,0751IbnQayyimJawziyya.SawaciqMursala,JK000101,6,751,188272,-ara1,JK000101-ara1
DARE00025,1327AhmadIbrahimCisa.TawdihMaqasid,JK000098,5,1327,227310,-ara1,JK000098-ara1
DARE00025,0716NajmDinTufi.Intisarat,Shamela0037713,1,716,100087,-ara1,Shamela0037713-ara1
DARE00025,0774IbnMuhammadShamsDinIbnMawsili.MukhtasarSawaciqMursala,ShamAY0037747,7,774,222132,-ara2,ShamAY0037747-ara2
DARE00025,1359CabbasQummi.Kuna,Shia003764Vols,1,1359,295583,-ara1.completed,Shia003764Vols-ara1.completed
DARE00025,0728IbnTaymiyya.MasalatHuduthCalam,ShamAY0034397,11,728,27576,-ara1,ShamAY0034397-ara1
DARE00025,0505Ghazali.MajmucatRasail,ShamAY0034797,3,505,229664,-ara1,ShamAY0034797-ara1
DARE00025,1317KhayrDinAlusi.JalaCaynayn,Zaydiyya0000379,3,1317,158248,-ara1,Zaydiyya0000379-ara1
DARE00025,0505Ghazali.Tahafut,Shamela0011055,345,505,49022,-ara1,Shamela0011055-ara1
DARE00025,0505Ghazali.MacarijQuds,Shamela0006494,2,505,39181,-ara1,Shamela0006494-ara1
DARE00025,0728IbnTaymiyya.MasalaFiTawhidFalasifa,Sham19Y0147670,31,728,20311,-ara1,Sham19Y0147670-ara1
DARE00025,0548IbnCabdKarimShahrastani.MilalWaNihal,Shamela0011812,1,548,117899,-ara1.completed,Shamela0011812-ara1.completed
DARE00025,1351YusufIlyanSarkis.MucjamMatbucat,Shia003364Vols,1,1351,358952,-ara1,Shia003364Vols-ara1
DARE00025,1050SadrDinShirazi.HikmaMutacaliya,Shia004695Vols,1,1050,1082073,-ara1,Shia004695Vols-ara1
