_T1,label,_T2,instances,date_B2,length,ext,value
EShia0086596,1206IbnCabdWahhab.MukhtasarSira,ShamAY0034441,21,1206,154434,-ara1,ShamAY0034441-ara1
EShia0086596,0751IbnQayyimJawziyya.RawdatMuhibbin,ShamAY0038393,1,751,113652,-ara2,ShamAY0038393-ara2
EShia0086596,0463IbnCabdBarr.BahjatMajalis,Shamela0000558,1,463,137158,-ara1,Shamela0000558-ara1
EShia0086596,0329IbnIbrahimQummi.Tafsir,Shia002337Vols,4,329,248376,-ara1,Shia002337Vols-ara1
EShia0086596,1100MuhammadItlidi.IclamNas,JK009306,1,1100,79884,-ara1,JK009306-ara1
EShia0086596,0698IbnFaraGhassani.NuzhatAbsar,ShamAY0033595,2,698,27379,-ara1,ShamAY0033595-ara1
EShia0086596,0852IbnHajarCasqalani.GharaibMinMusannadFirdaws,ShamAY0032826,4,852,373423,-ara1,ShamAY0032826-ara1
EShia0086596,1127IsmacilHaqqiBurusawi.RuhBayan,ShamAY0034059,4,1127,2429568,-ara1,ShamAY0034059-ara1
EShia0086596,0279Baladhuri.AnsabAshraf,Shamela0009773,34,279,1107224,-ara1.completed,Shamela0009773-ara1.completed
EShia0086596,0321AbuJacfarTahawi.SharhMushkilAthar,Shamela0022547,1,321,844016,-ara1,Shamela0022547-ara1
EShia0086596,1068IbnCaliFuwati.BadrMunir,Zaydiyya0000328,1,1068,195175,-ara1,Zaydiyya0000328-ara1
EShia0086596,0427AbuIshaqThaclabi.KashfWaBayan,Shamela0023578,4,427,1064415,-ara1.completed,Shamela0023578-ara1.completed
EShia0086596,0362AbuFarajIsbahani.MaqatilTalibiyyin,Shamela0012404,3,362,128873,-ara1.completed,Shamela0012404-ara1.completed
EShia0086596,0776JamalDinSurramarri.KhasaisSayyidCalamin,Sham19Y0020594,2,776,108541,-ara1,Sham19Y0020594-ara1
EShia0086596,0571IbnCasakir.TarjamatHasan,Shia003698,1,571,98136,-ara1,Shia003698-ara1
EShia0086596,0877IbnYusufZaynDinCamili.SiratMustaqim,Shia001392Vols,2,877,254036,-ara1,Shia001392Vols-ara1
EShia0086596,0749MuayyadYahya.DibajWadi,Zaydiyya0000272,3,749,531747,-ara1,Zaydiyya0000272-ara1
EShia0086596,0548IbnHasanTabarsi.TajMawalid,Shia001339,1,548,8355,-ara1,Shia001339-ara1
EShia0086596,0458Bayhaqi.DalailNubuwwa,JK006838,26,458,525097,-ara1.mARkdown,JK006838-ara1.mARkdown
EShia0086596,0328IbnQasimAnbari.SharhQasaidSabc,Sham19Y0124335,1,328,109841,-ara1,Sham19Y0124335-ara1
EShia0086596,0541IbnCatiyyaAndalusi.MuharrarWajiz,Shamela0023632,2,541,1185307,-ara1.completed,Shamela0023632-ara1.completed
EShia0086596,0911Suyuti.Muhadarat,Shamela0009099,1,911,119395,-ara1,Shamela0009099-ara1
EShia0086596,0643DiyaDinMuqaddasi.Cudda,Shamela0009385,1,643,9757,-ara1,Shamela0009385-ara1
EShia0086596,0700AbuFadlCaliTabarsi.MishkatAnwar,Shia001383,1,700,118491,-ara1,Shia001383-ara1
EShia0086596,0322IbnTabataba.CiyarShicr,Shamela0006911,1,322,17796,-ara1.completed,Shamela0006911-ara1.completed
EShia0086596,0808MuhammadDamiri.HayatHayawanKubra,Shamela0010664,2,808,435882,-ara1,Shamela0010664-ara1
EShia0086596,0748Dhahabi.TadhhibTahdhib,Sham19Y0149213,2,748,838079,-ara1,Sham19Y0149213-ara1
EShia0086596,0911Suyuti.TarikhKhulafa,Shamela0011997,1,911,131955,-ara1,Shamela0011997-ara1
EShia0086596,0538JarAllahZamakhshari.FaiqFiGharib,Shia002170Vols,1,538,296470,-ara1,Shia002170Vols-ara1
EShia0086596,0608IbnCutyaQudaciTurtushi.TahrirMaqal,Shamela0022712,5,608,116838,-ara1,Shamela0022712-ara1
EShia0086596,0430AbuNucaymIsbahani.DalailNubuwwa,Shamela0010637,10,430,120172,-ara1,Shamela0010637-ara1
EShia0086596,0521IbnMuhammadBatalyawsi.HulalFiSharh,Shamela0000634,1,521,41814,-ara1,Shamela0000634-ara1
EShia0086596,0487AbuCubaydBakri.TanbihCalaAwham,JK009208,2,487,22121,-ara1,JK009208-ara1
EShia0086596,1411MuhammadTahirBarnaji.SahihWaDacifTarikhTabari,Sham19Y0145435,56,1411,1893127,-ara1,Sham19Y0145435-ara1
EShia0086596,0321AbuJacfarTahawi.SharhMacaniAthar,Shia002003Vols,6,321,615258,-ara1,Shia002003Vols-ara1
EShia0086596,0327AbuBakrKharaiti.HawatifJinan,JK009207,1,327,10881,-ara1,JK009207-ara1
EShia0086596,0750IbnYusufZarandi.NazmDurar,Shia002213,3,750,58123,-ara1,Shia002213-ara1
EShia0086596,0395AbuHilalCaskari.Sinacatayn,Shamela0023787,1,395,76818,-ara1,Shamela0023787-ara1
EShia0086596,0362AbuFarajIsbahani.Aghani,JK000927,35,362,1527426,-ara1.completed,JK000927-ara1.completed
EShia0086596,0249Azraqi.AkhbarMakka,JK003504,9,249,131665,-ara1.completed,JK003504-ara1.completed
EShia0086596,0400IbnMuhammadKhazzaz.KifayatAthar,Shia001154,3,400,59023,-ara1,Shia001154-ara1
EShia0086596,0360Tabarani.MucjamKabir,Shamela0001733,9,360,1539036,-ara1,Shamela0001733-ara1
EShia0086596,0905IbnCaliTaqiDinKafcami.Misbah,Shia001399,4,905,200245,-ara1,Shia001399-ara1
EShia0086596,0840IbnWazirYamani.RawdBasim,Shamela0036427,1,840,105744,-ara1,Shamela0036427-ara1
EShia0086596,0460ShaykhTusi.TahdhibAhkam,Shia001161Vols,1,460,1115403,-ara1,Shia001161Vols-ara1
EShia0086596,0413ShaykhMufid.Jamal,Shia003687,1,413,57575,-ara1,Shia003687-ara1
EShia0086596,0660SultanCulamaCizzDinDimashqi.TafsirQuran,JK007018,2,660,264218,-ara1,JK007018-ara1
EShia0086596,0234IbnAbiShayba.Musannaf,JK000786,2,234,1279050,-ara1.completed,JK000786-ara1.completed
EShia0086596,0510AbuKhattabKalwadhani.TamhidhFiUsulFiqh,Sham19Y0014103,1,510,200457,-ara1,Sham19Y0014103-ara1
