_T1,label,_T2,instances,date_B2,length,ext,value
Filaha003,0852IbnHajarCasqalani.GharaibMinMusannadFirdaws,ShamAY0032826,1,852,373423,-ara1,ShamAY0032826-ara1
Filaha003,0535QawwamSunna.TarghibWaTarhib,Shamela0026884,1,535,224234,-ara1,Shamela0026884-ara1
Filaha003,1127IsmacilHaqqiBurusawi.RuhBayan,ShamAY0034059,1,1127,2429568,-ara1,ShamAY0034059-ara1
Filaha003,1263IbnRamadanBurullusi.SayfYamani,ShamAY0036161,1,1263,7422,-ara1,ShamAY0036161-ara1
Filaha003,1068IbnCaliFuwati.BadrMunir,Zaydiyya0000328,1,1068,195175,-ara1,Zaydiyya0000328-ara1
Filaha003,0360Tabarani.Tafsir,ShamAY0033108,1,360,606721,-ara1,ShamAY0033108-ara1
Filaha003,0427AbuIshaqThaclabi.KashfWaBayan,Shamela0023578,1,427,1064415,-ara1.completed,Shamela0023578-ara1.completed
Filaha003,1205MurtadaZabidi.TajCarus,Shia003965Vols,1,1205,4357074,-ara1,Shia003965Vols-ara1
Filaha003,0808MuhammadDamiri.HayatHayawanKubra,Shamela0010664,2,808,435882,-ara1,Shamela0010664-ara1
Filaha003,1332NurDinSalimi.MacarijAmal,ShamIbadiyya0000229,1,1332,869890,-ara1,ShamIbadiyya0000229-ara1
Filaha003,1204SulaymanJamal.Hashiya,Shamela0021598,1,1204,2230762,-ara1,Shamela0021598-ara1
Filaha003,0548IbnHasanTabarsi.TafsirMajmacBayan,Shia002359Vols,1,548,1431572,-ara1,Shia002359Vols-ara1
Filaha003,0923AhmadQastallani.IrshadSari,Shamela0021715,3,923,3401828,-ara1.completed,Shamela0021715-ara1.completed
Filaha003,0926ZakariyyaAnsari.GhurarBahiyya,Shamela0021848BK1,1,926,1653639,-ara1,Shamela0021848BK1-ara1
Filaha003,0651IbnYusufAbuCabbasTifashi.SururNafs,JK011032,1,651,94774,-ara1,JK011032-ara1
Filaha003,0926ZakariyyaAnsari.AsnaMatalib,Shamela0011468BK1,1,926,1787330,-ara1,Shamela0011468BK1-ara1
Filaha003,0654SibtIbnJawzi.MiratZaman,SHAM19Y23644,1,654,2401897,-ara1,SHAM19Y23644-ara1
Filaha003,0509IbnShahridarDaylami.Firdaws,JK001297,1,509,179711,-ara1,JK001297-ara1
Filaha003,1130CabdAllahBahrani.Cawalim,Shia001552,1,1130,199734,-ara1,Shia001552-ara1
Filaha003,0884AbuDharrSibtIbnCajami.KunuzDhahab,Shamela0011786,1,884,159422,-ara1,Shamela0011786-ara1
Filaha003,0827BadrDinDamaminiMakhzumi.MasabihJamic,Sham19Y0016684,3,827,712375,-ara1,Sham19Y0016684-ara1
Filaha003,1070MuhammadKibrit.RihlaShita,Shamela0037345,2,1070,50208,-ara1.completed,Shamela0037345-ara1.completed
Filaha003,1304CabdHayyLaknawi.TarwijJinan,ShamAY0036019,1,1304,25596,-ara1,ShamAY0036019-ara1
Filaha003,1112IbnJumcaHuwayzi.TafsirNurThaqalayn,Shia002389Vols,1,1112,1051070,-ara1,Shia002389Vols-ara1
Filaha003,0911Suyuti.DibajCalaMuslim,Shia001831Vols,1,911,203949,-ara1,Shia001831Vols-ara1
Filaha003,0852SirajDinIbnWardi.CajaibNabatat,ShamAY0035937,2,852,17219,-ara1,ShamAY0035937-ara1
Filaha003,1423CabbasAhmadSaqr.JamicAhadith,JK009390,1,1423,2376687,-ara1.completed,JK009390-ara1.completed
Filaha003,1200CabdNabiAhmadnakari.DusturCulama,Shamela0007038,1,1200,354542,-ara1,Shamela0007038-ara1
Filaha003,1070MuhammadKibrit.JawahirThamina,ShamAY0038440,3,1070,59338,-ara1,ShamAY0038440-ara1
Filaha003,1188ShamsDinSaffarini.GhidhaAlbab,Shamela0025791,1,1188,312514,-ara1,Shamela0025791-ara1
Filaha003,1089IbnCimad.Shadharat,Shamela0012398,1,1089,1012759,-ara1.completed,Shamela0012398-ara1.completed
Filaha003,1411SayyidMarcashi.SharhIhqaq,Shia004092Vols,3,1411,3994825,-ara1,Shia004092Vols-ara1
Filaha003,0911Suyuti.MufhimatAqran,JK009252,1,911,15982,-ara1,JK009252-ara1
Filaha003,0909IbnCabdHadi.ArbacunaMusalsala,Shamela0010469,1,909,5039,-ara1,Shamela0010469-ara1
