_T1,label,_T2,instances,date_B2,length,ext,value
GRAR000078,0749IbnFadlAllahCumari.MasalikAbsar,Shamela0011790,9,749,1128268,-ara1,Shamela0011790-ara1
GRAR000078,0668IbnAbiUsaybica.CuyunAnba,Shamela0006687,16,668,252505,-ara1.completed,Shamela0006687-ara1.completed
GRAR000078,0595IbnRushdHafid.SharhMaBacdTabica,DARE00024,1,595,283986,-ara1,DARE00024-ara1
GRAR000078,0300HubayshIbnHasan.CahdAbuqrat,GRAR000051,1,300,266,-ara1,GRAR000051-ara1
GRAR000078,0259HunaynIbnIshaq.TaqdimatMacrifaLiAbuqrat,GRAR000053,1,259,5444,-ara1,GRAR000053-ara1
GRAR000078,1307Qannawji.AbjadCulum,JK000676,1,1307,271030,-ara1.completed,JK000676-ara1.completed
GRAR000078,0764Safadi.WafiBiWafayat,JK003609,1,764,1960091,-ara1.completed,JK003609-ara1.completed
GRAR000078,0259HunaynIbnIshaq.AbuqratFiTadbirAmrad,GRAR000090,1,259,6408,-ara1,GRAR000090-ara1
GRAR000078,0259HunaynIbnIshaq.FusulAbuqrat,GRAR000052,3,259,8564,-ara1,GRAR000052-ara1
GRAR000078,0259HunaynIbnIshaq.JalinusFiMihnatAfdalAtibba,GRAR000083,2,259,11825,-ara1.completed,GRAR000083-ara1.completed
GRAR000078,0313IbnZakariyyaRazi.HawiFiTibb,Shamela0010704,1,313,1109772,-ara1.completed,Shamela0010704-ara1.completed
GRAR000078,1067HajjiKhalifa.KashfZunun,Shia003356Vols,1,1067,558376,-ara1.inProgress,Shia003356Vols-ara1.inProgress
