_T1,label,_T2,instances,date_B2,length,ext,value
GVDB20200219,0797IbnCaquli.Rasf,Sham19Y0127700,1,797,212284,-ara1,Sham19Y0127700-ara1
GVDB20200219,0456IbnHazm.MuhallaBiAthar,Shamela0000767,2,456,1480381,-ara1.completed,Shamela0000767-ara1.completed
GVDB20200219,0279Baladhuri.AnsabAshraf,Shamela0009773,2,279,1107224,-ara1.completed,Shamela0009773-ara1.completed
GVDB20200219,0772ShamsDinHanbaliZarqashi.SharhCalaMukhtasarKhiraqi,Shamela0021743,3,772,583799,-ara1,Shamela0021743-ara1
GVDB20200219,0458Bayhaqi.Khilafiyyat,Sham19Y0131336,2,458,650228,-ara1,Sham19Y0131336-ara1
GVDB20200219,0520IbnMuhammadTurtushi.SirajMuluk,Shamela0001585,8,520,104765,-ara1.mARkdown,Shamela0001585-ara1.mARkdown
GVDB20200219,0684ShihabDinQarafi.Furuq,Shamela0002215,3,684,810131,-ara1,Shamela0002215-ara1
GVDB20200219,0476AbuIshaqShirazi.TanbihFiFiqhShafici,JK000303,1,476,74594,-ara1,JK000303-ara1
GVDB20200219,0728IbnTaymiyya.IqtidaSirat,Shamela0011620,3,728,128464,-ara1,Shamela0011620-ara1
GVDB20200219,1094IbnSacidMujaylidi.Taysir,Sham19Y0036116,5,1094,6936,-ara1,Sham19Y0036116-ara1
GVDB20200219,1014IbnSultanHarawi.FathBabCinaya,ShamAY0033181,1,1014,517845,-ara1,ShamAY0033181-ara1
GVDB20200219,1090KhamisShiqsi.MinhajTalibin,ShamIbadiyya0000185,1,1090,1395224,-ara1,ShamIbadiyya0000185-ara1
GVDB20200219,0880IbnAhmadShamsDinAsyuti.IthafAkhissa,Sham19Y0014045,5,880,83989,-ara1,Sham19Y0014045-ara1
GVDB20200219,1346LuisShikhuYasuci.Nasraniyya,Sham19Y0005414,1,1346,122149,-ara1,Sham19Y0005414-ara1
GVDB20200219,1423CabbasAhmadSaqr.JamicAhadith,JK009390,6,1423,2376687,-ara1.completed,JK009390-ara1.completed
GVDB20200219,0699ShihabDinIshbiliLakhmi.MukhtasarKhilafiyyat,Shamela0006227,1,699,252555,-ara1,Shamela0006227-ara1
GVDB20200219,0896IbnCaliIbnAzraqGharnati.BadaicSilk,JK001412,7,896,170094,-ara1,JK001412-ara1
GVDB20200219,1450MuhammadCaliSabuni.MukhtasarTafsirIbnKathir,Tafsir09084,5,1450,803383,-ara1,Tafsir09084-ara1
GVDB20200219,0682SirajDinAzmawi.Tahsil,Sham19Y0019235,1,682,181653,-ara1,Sham19Y0019235-ara1
GVDB20200219,1354RashidRida.Manar,Shamela0006947,2,1354,6513230,-ara1,Shamela0006947-ara1
GVDB20200219,0774IbnKathir.MusnadCumarIbnKhattab,Sham19Y0016555,8,774,278851,-ara2,Sham19Y0016555-ara2
