_T1,label,_T2,instances,date_B2,length,ext,value
GVDB20200720,0749IbnFadlAllahCumari.TacrifBiMustalahSharif,Shamela0037051,1,749,57364,-ara1.completed,Shamela0037051-ara1.completed
GVDB20200720,1119IbnMacsum.SulafaCasr,JK010298,1,1119,165246,-ara1,JK010298-ara1
GVDB20200720,0884AbuDharrSibtIbnCajami.KunuzDhahab,Shamela0011786,8,884,159422,-ara1,Shamela0011786-ara1
GVDB20200720,0730ShaficIbnCali.FadlMathurFiSiratMalikMansur,GVDB20200701,16,730,33379,-ara1.completed,GVDB20200701-ara1.completed
GVDB20200720,0725BaybarsMansuri.MukhtarAkhbar,GVDB20210106,8,725,26452,-ara1.completed,GVDB20210106-ara1.completed
GVDB20200720,0736IbnDawadari.KanzDurar,Sham19Y0018147,16,736,797950,-ara1.completed,Sham19Y0018147-ara1.completed
GVDB20200720,0855BadrDinCayni.CiqdJuman,ShamAY0033840,7,855,277250,-ara1,ShamAY0033840-ara1
GVDB20200720,0774IbnKathir.Bidaya,Shamela0004445,1,774,2192600,-ara1.completed,Shamela0004445-ara1.completed
GVDB20200720,0725BaybarsMansuri.ZubdatFikra,GVDB20201027,26,725,113610,-ara1.completed,GVDB20201027-ara1.completed
GVDB20200720,0733Nuwayri.NihayaArab,Shamela0010283,4,733,2398272,-ara1.completed,Shamela0010283-ara1.completed
GVDB20200720,0421IbnMuhammadMarzuqi.AmaliMarzuqi,Shamela0000722,2,421,44091,-ara1.completed,Shamela0000722-ara1.completed
GVDB20200720,1372KurdCali.KhitatSham,Shamela0037063,2,1372,408415,-ara1.completed,Shamela0037063-ara1.completed
GVDB20200720,0764Safadi.WafiBiWafayat,JK003609,1,764,1960091,-ara1.completed,JK003609-ara1.completed
GVDB20200720,0685IbnCibri.TarikhMukhtasarDuwal,Shamela0012348,15,685,95922,-ara1.completed,Shamela0012348-ara1.completed
GVDB20200720,0726Yunini.DhaylMiratZaman,Shamela0012722,4,726,321919,-ara1.completed,Shamela0012722-ara1.completed
GVDB20200720,1371MuhsinCamili.AcyanShica,Shia003636Vols,2,1371,4621939,-ara1.inProgress,Shia003636Vols-ara1.inProgress
GVDB20200720,0321IbnDuraydAzdi.Maqsura,ShamIbadiyya0000650,3,321,2696,-ara1,ShamIbadiyya0000650-ara1
GVDB20200720,0821Qalqashandi.SubhAcsha,Shamela0009429,35,821,1504667,-ara1,Shamela0009429-ara1
