_T1,label,_T2,instances,date_B2,length,ext,value
Hindawi95926405Vols,1206IbnCabdWahhab.MukhtasarSira,ShamAY0034441,1,1206,154434,-ara1,ShamAY0034441-ara1
Hindawi95926405Vols,0839MahdiAhmadIbnYahya.BahrZakhkhar,Zaydiyya0000063,1,839,530232,-ara1,Zaydiyya0000063-ara1
Hindawi95926405Vols,1068IbnCaliFuwati.BadrMunir,Zaydiyya0000328,1,1068,195175,-ara1,Zaydiyya0000328-ara1
Hindawi95926405Vols,0597IbnJawzi.Tabsira,JK007063,1,597,182708,-ara1,JK007063-ara1
Hindawi95926405Vols,0953IbnTulun.TibbNabawi,ShamAY0033561,1,953,63221,-ara1,ShamAY0033561-ara1
Hindawi95926405Vols,0322IbnTabataba.CiyarShicr,Shamela0006911,1,322,17796,-ara1.completed,Shamela0006911-ara1.completed
Hindawi95926405Vols,0520IbnMuhammadTurtushi.SirajMuluk,Shamela0001585,1,520,104765,-ara1.mARkdown,Shamela0001585-ara1.mARkdown
Hindawi95926405Vols,0362AbuFarajIsbahani.Aghani,JK000927,2,362,1527426,-ara1.completed,JK000927-ara1.completed
Hindawi95926405Vols,0360Tabarani.MucjamKabir,Shamela0001733,1,360,1539036,-ara1,Shamela0001733-ara1
Hindawi95926405Vols,1404IbrahimQattan.TaysirTafsir,Tafsir09068,1,1404,385021,-ara1,Tafsir09068-ara1
Hindawi95926405Vols,0463IbnCabdBarr.TamhidMuwatta,Shamela0001719,1,463,1440990,-ara1,Shamela0001719-ara1
Hindawi95926405Vols,0923AhmadQastallani.IrshadSari,Shamela0021715,1,923,3401828,-ara1.completed,Shamela0021715-ara1.completed
Hindawi95926405Vols,0487AbuCubaydBakri.SimtLaaliFiSharhAmali,JK009225,1,487,178079,-ara1,JK009225-ara1
Hindawi95926405Vols,0597IbnMubarakBaghdadi.MuntahaTalab,JK010732,1,597,181277,-ara1,JK010732-ara1
Hindawi95926405Vols,0651IbnYusufAbuCabbasTifashi.SururNafs,JK011032,4,651,94774,-ara1,JK011032-ara1
Hindawi95926405Vols,0728IbnTaymiyya.DarTacarud,JK000362,2,728,672588,-ara1,JK000362-ara1
Hindawi95926405Vols,0749IbnFadlAllahCumari.MasalikAbsar,Shamela0011790,12,749,1128268,-ara1,Shamela0011790-ara1
Hindawi95926405Vols,0841JamalDinIbnFahdHilli.CuddatDaci,Shia001391,1,841,87652,-ara1,Shia001391-ara1
Hindawi95926405Vols,0905IbnCabdRahmanIjiShafici.Tafsir,Shamela0029743,13,905,369251,-ara1,Shamela0029743-ara1
Hindawi95926405Vols,0664IbnTawus.FarajMahmum,Shia001375,4,664,58835,-ara1,Shia001375-ara1
Hindawi95926405Vols,1081MuhammadSalihMazandarani.SharhUsulKafi,Shia001174Vols,2,1081,1847218,-ara1,Shia001174Vols-ara1
Hindawi95926405Vols,0845Maqrizi.Rasail,Shamela0010710,8,845,72885,-ara1,Shamela0010710-ara1
Hindawi95926405Vols,0356AbuCaliQali.AmaliFiLugha,JK000919,5,356,203878,-ara1,JK000919-ara1
Hindawi95926405Vols,1300MullaHadiSabzawari.SharhAsmaHusna,Shia002397Vols,1,1300,149278,-ara1,Shia002397Vols-ara1
Hindawi95926405Vols,0510CawtabiSuhari.Ibana,Sham19Y0017879,1,510,295259,-ara1,Sham19Y0017879-ara1
Hindawi95926405Vols,0597IbnJawzi.SaydKhatir,Shamela0012028,1,597,116353,-ara1,Shamela0012028-ara1
Hindawi95926405Vols,1450LajnaDaima.Fatawa,Shamela0008381,2,1450,1943513,-ara1,Shamela0008381-ara1
Hindawi95926405Vols,1411HasanCaliQabanji.SharhRisalatHuquq,Shia003986,2,1411,121077,-ara1,Shia003986-ara1
Hindawi95926405Vols,1317KhayrDinAlusi.FathAllahHamid,Sham19Y0011326,2,1317,94690,-ara1,Sham19Y0011326-ara1
Hindawi95926405Vols,1219TalibBartiliWalati.FathShakur,ShamAY0034641,1,1219,53977,-ara1,ShamAY0034641-ara1
Hindawi95926405Vols,0566MutawakkilAhmad.HaqaiqMacrifa,Zaydiyya0000044,3,566,93860,-ara1,Zaydiyya0000044-ara1
Hindawi95926405Vols,1225IbnNasirNajdi.FawakihCidhab,JK010001,10,1225,1228829,-ara1,JK010001-ara1
Hindawi95926405Vols,0276IbnQutaybaDinawari.ShicrWaShucara,Shamela0023785,1,276,120787,-ara1.mARkdown,Shamela0023785-ara1.mARkdown
Hindawi95926405Vols,0310Tabari.JamicBayan,Shamela0007798,4,310,2910592,-ara1.inProgress,Shamela0007798-ara1.inProgress
Hindawi95926405Vols,0646IbnQifti.AkhbarCulama,Shamela0026336,17,646,96414,-ara1.completed,Shamela0026336-ara1.completed
Hindawi95926405Vols,1093CabdQadirBaghdadi.KhizanatAdab,Shia004649Vols,1,1093,975252,-ara1,Shia004649Vols-ara1
Hindawi95926405Vols,0668IbnAbiUsaybica.CuyunAnba,Shamela0006687,1,668,252505,-ara1.completed,Shamela0006687-ara1.completed
Hindawi95926405Vols,0450AbuHasanMawardi.HawiKabir,ShamAY0034249,1,450,2795709,-ara1,ShamAY0034249-ara1
