_T1,label,_T2,instances,date_B2,length,ext,value
JK000195,0895SibtMaridini.SharhFusul,Shamela0012018,1,895,67228,-ara1,Shamela0012018-ara1
JK000195,1152IbrahimShajari.TabaqatZaydiyya,Zaydiyya0000336,3,1152,248845,-ara1,Zaydiyya0000336-ara1
JK000195,0914IbnYahyaWansharisi.Wafayat,ShamAY0034655,3,914,28380,-ara1,ShamAY0034655-ara1
JK000195,0902Sakhawi.Buldaniyyat,JK007062,1,902,37366,-ara1.completed,JK007062-ara1.completed
JK000195,0756TaqiDinSubki.Ibhaj,Sham19Y0147104,26,756,619208,-ara3,Sham19Y0147104-ara3
JK000195,0422QadiCabdWahhabThaclabi.CuyunMasail,Sham19Y0014467,1,422,113583,-ara1,Sham19Y0014467-ara1
JK000195,0804IbnMulaqqin.CiqdMudhahhab,Sham19Y0016664,130,804,116358,-ara1,Sham19Y0016664-ara1
JK000195,0427AbuIshaqThaclabi.KashfWaBayan,Shamela0023578,1,427,1064415,-ara1.completed,Shamela0023578-ara1.completed
JK000195,0427AbuNasrCutbi.Yamini,ShamAY0033832,1,427,129149,-ara1,ShamAY0033832-ara1
JK000195,0794BadrDinZarkashi.TashnifMasamic,Sham19Y0122142,1,794,273634,-ara1,Sham19Y0122142-ara1
JK000195,0774IbnKathir.IjtihadFiTalabJihad,ShamAY0036178,1,774,4858,-ara1,ShamAY0036178-ara1
JK000195,0733IbnJamacaBadrDinHamawi.TanqihMunazara,Shamela0010103,2,733,7275,-ara1,Shamela0010103-ara1
JK000195,1205MurtadaZabidi.TajCarus,Shia003965Vols,2,1205,4357074,-ara1,Shia003965Vols-ara1
JK000195,0748Dhahabi.TadhhibTahdhib,Sham19Y0149213,9,748,838079,-ara1,Sham19Y0149213-ara1
JK000195,0826IbnCiraqi.TahrirFatawa,Sham19Y0127671,1,826,763664,-ara1,Sham19Y0127671-ara1
JK000195,0260AbuCaliZacfarani.MusnadBilal,Shia001924,1,260,2767,-ara1,Shia001924-ara1
JK000195,1450WalidUmawi.MucjamAshabIbnTaymiyya,Shamela0021524,2,1450,31649,-ara1,Shamela0021524-ara1
JK000195,1450KhalidRibat.JamicIbnHanbalRijal,Sham19Y0020881,1,1450,411091,-ara1,Sham19Y0020881-ara1
JK000195,0902Sakhawi.DawLamic,JK003608,33,902,1317252,-ara1.completed,JK003608-ara1.completed
JK000195,1098AhmadMuhammadHamawi.DurrFarid,ShamAY0037517,1,1098,4593,-ara1,ShamAY0037517-ara1
JK000195,0674IbnSaci.DurrThamin,Sham19Y0014483,1,674,97805,-ara1,Sham19Y0014483-ara1
JK000195,0724IbnCattar.CuddaFiSharhCumda,Sham19Y0014224,1,724,409770,-ara1,Sham19Y0014224-ara1
JK000195,0885IbnSulaymanCalaDinMardawi.TahrirManqul,Sham19Y0016983,2,885,72399,-ara1,Sham19Y0016983-ara1
JK000195,1204SulaymanJamal.Hashiya,Shamela0021598,3,1204,2230762,-ara1,Shamela0021598-ara1
JK000195,0852IbnHajarCasqalani.DurarKamina,Shamela0006674,76,852,398481,-ara1.completed,Shamela0006674-ara1.completed
JK000195,0772IbnHasanJamalDinIsnawi.MuhimmatFiSharhRawda,Sham19Y0014580,186,772,951090,-ara1,Sham19Y0014580-ara1
JK000195,1099CabdBaqiZurqani.Sabca,ShamAY0036160,1,1099,4258,-ara1,ShamAY0036160-ara1
JK000195,1118CabdHamidShirwani.HashiyaCalaTuhfatMuhtaj,Shamela0009059BK2,1,1118,2430445,-ara1,Shamela0009059BK2-ara1
JK000195,0405HakimNaysaburi.MacrifatCulumHadith,ShamAY0034041,1,405,93560,-ara1,ShamAY0034041-ara1
