_T1,label,_T2,instances,date_B2,length,ext,value
JK001291BK1,0808MuhammadDamiri.HayatHayawanKubra,Shamela0010664,1,808,435882,-ara1,Shamela0010664-ara1
JK001291BK1,0749IbnFadlAllahCumari.MasalikAbsar,Shamela0011790,13,749,1128268,-ara1,Shamela0011790-ara1
JK001291BK1,1089IbnCimad.Shadharat,Shamela0012398,149,1089,1012759,-ara1.completed,Shamela0012398-ara1.completed
JK001291BK1,1450Maghrawi.MawsucaMawaqifSalaf,Shamela0037325,1,1450,929481,-ara1,Shamela0037325-ara1
JK001291BK1,0909IbnCabdHadi.JamcJuyushWaDasakir,Shamela0030312,2,909,25916,-ara1,Shamela0030312-ara1
JK001291BK1,0829TaqiDinDimashqiHisni.DafcShubh,Shia003724,1,829,46729,-ara1,Shia003724-ara1
JK001291BK1,0765AbuMahasinHusayni.DhaylTadhkira,Shamela0007307,6,765,8902,-ara1.completed,Shamela0007307-ara1.completed
JK001291BK1,0851IbnQadiShuhba.TabaqatShaficiya,JK000195,1,851,117607,-ara1.inProgress,JK000195-ara1.inProgress
JK001291BK1,0748Dhahabi.MucinFiTabaqatMuhaddithin,JK000658,5,748,20289,-ara1.completed,JK000658-ara1.completed
JK001291BK1,0764Safadi.WafiBiWafayat,JK003609,1,764,1960091,-ara1.completed,JK003609-ara1.completed
JK001291BK1,1067HajjiKhalifa.SullamWusul,Sham19Y0019199,1,1067,617879,-ara1,Sham19Y0019199-ara1
JK001291BK1,0728IbnTaymiyya.RisalaQubrusiyya,ShamAY0034378,1,728,15139,-ara1,ShamAY0034378-ara1
JK001291BK1,0852IbnHajarCasqalani.DurarKamina,Shamela0006674,2,852,398481,-ara1.completed,Shamela0006674-ara1.completed
JK001291BK1,1368HasanAmin.MustadrakatAcyanShica,Shia003634Vols,1,1368,535794,-ara1,Shia003634Vols-ara1
JK001291BK1,1371MuhsinCamili.AcyanShica,Shia003636Vols,1,1371,4621939,-ara1.inProgress,Shia003636Vols-ara1.inProgress
JK001291BK1,1152IbrahimShajari.TabaqatZaydiyyaKubra,Zaydiyya0000100,1,1152,271236,-ara1,Zaydiyya0000100-ara1
JK001291BK1,0748Dhahabi.TadhkiratHuffaz,JK000532,6,748,322189,-ara1.completed,JK000532-ara1.completed
JK001291BK1,0740JunaydShirazi.ShaddIzar,ShamAY0034640,1,740,198691,-ara1,ShamAY0034640-ara1
JK001291BK1,1450SaibCabdHamid.IbnTaymiyyaHayathu,Zaydiyya0000102,1,1450,67121,-ara1,Zaydiyya0000102-ara1
JK001291BK1,0744IbnCabdHadi.TanqihTahqiq,Shamela0010657,2,744,386060,-ara1,Shamela0010657-ara1
JK001291BK1,0953IbnTulun.TaghrBassam,ShamAY0035856,10,953,64547,-ara1,ShamAY0035856-ara1
JK001291BK1,0762MughaltayIbnQalij.DurrManzur,Sham19Y0032381,2,762,76329,-ara1,Sham19Y0032381-ara1
JK001291BK1,0947BamakhramaHimyari.QiladatNahr,Sham19Y0029560,55,947,794811,-ara1,Sham19Y0029560-ara1
JK001291BK1,0749ZaynDinIbnWardi.Tarikh,Shamela0006624,1,749,251874,-ara1,Shamela0006624-ara1
JK001291BK1,0774IbnKathir.Bidaya,Shamela0004445,2,774,2192600,-ara1.completed,Shamela0004445-ara1.completed
JK001291BK1,0871IbnFahdMakki.LahzAlhaz,Shia003348,6,871,60865,-ara1,Shia003348-ara1
JK001291BK1,0927Nucaymi.DarisFiMadaris,JK000417,48,927,221681,-ara1.mARkdown,JK000417-ara1.mARkdown
JK001291BK1,0732AbuFida.MukhtasarFiAkhbar,Shamela0012715,1,732,315725,-ara1.completed,Shamela0012715-ara1.completed
JK001291BK1,0845Maqrizi.Suluk,Shamela0006667,4,845,821823,-ara1.completed,Shamela0006667-ara1.completed
JK001291BK1,0748Dhahabi.CibarFiKhabar,Shamela0025841,132,748,269176,-ara1.mARkdown,Shamela0025841-ara1.mARkdown
JK001291BK1,0845Maqrizi.Mawaciz,Shamela0011566,1,845,680682,-ara1.completed,Shamela0011566-ara1.completed
JK001291BK1,0911Suyuti.HusnMuhadara,Shamela0003283,11,911,212197,-ara1.completed,Shamela0003283-ara1.completed
JK001291BK1,0768Yafici.MiratJanan,Shamela0009091,66,768,422481,-ara1.completed,Shamela0009091-ara1.completed
JK001291BK1,0852IbnHajarCasqalani.MatalibCaliyya,Sham19Y0037618,1,852,2290019,-ara1,Sham19Y0037618-ara1
JK001291BK1,1346CabdQadirBadran.Munadama,Shamela0006710,4,1346,109986,-ara1.completed,Shamela0006710-ara1.completed
JK001291BK1,1390CabdHusaynAmini.Ghadir,Zaydiyya0000142,1,1390,1253062,-ara1,Zaydiyya0000142-ara1
JK001291BK1,0874IbnTaghribirdi.ManhalSafi,Shamela0023156,1,874,363026,-ara1.completed,Shamela0023156-ara1.completed
JK001291BK1,0816IbnHajji.Tarikh,Sham19Y0019065,1,816,213740,-ara1,Sham19Y0019065-ara1
JK001291BK1,1036AhmadBabaTanbukti.NaylIbtihaj,Sham19Y0014197,1,1036,155756,-ara1,Sham19Y0014197-ara1
